030102000001,La Dama,S,🖤 black,❤️ red,,,3
060103030002,La Sirena,M,🖤 black,💙 TQ,💙 TQ,,1
320102000002,El Musico,M,🖤 black,❤️ red,,,2
220102020002,La Bota,M,🖤 black,❤️ red,❤️ red,,1
220103030002,La Bota,M,🖤 black,💙 TQ,💙 TQ,,1
060104050002,La Sirena,M,🖤 black,💛 yellow,💚 green,,2
060204030002,La Sirena,M,❤️ red,💛 yellow,💙 TQ,,3
270302000002,El Corazon,M,💙 TQ,❤️ red,,,1
360103030002,El Pulpo,M,🖤 black,💙 TQ,💙 TQ,,1
270103000003,El Corazon,L,🖤 black,💙 TQ,,,1
270302000003,El Corazon,L,💙 TQ,❤️ red,,,1
320302000003,El Musico,L,💙 TQ,❤️ red,,,1
520105050001,La Calavera,S,🖤 black,💚 green,💚 green,,3
520102020001,La Calavera,S,🖤 black,❤️ red,❤️ red,,4
220103030001,La Bota,S,🖤 black,💙 TQ,💙 TQ,,1
360102020001,El Pulpo,S,🖤 black,❤️ red,❤️ red,,1
360103030001,El Pulpo,S,🖤 black,💙 TQ,💙 TQ,,3
360302020001,El Pulpo,S,💙 TQ,❤️ red,❤️ red,,2
270102000002,El Corazon,M,🖤 black,❤️ red,,,4
